reported_date,testing_start_date,testing_end_date,board_IDs,school_boards,school_ID,testing_sites
2021-05-14,2021-05-19,,B66150,District School Board of Niagara,948055,Thorold Secondary School
2021-05-14,2021-05-15,,B67083,Dufferin-Peel Catholic District School Board,860217,St. Evan Catholic Elementary School
2021-05-14,2021-05-16,,B67083,Dufferin-Peel Catholic District School Board,850888,Cardinal Leger Secondary School
2021-05-14,2021-05-15,,B66168,Grand Erie District School Board,930245,North Park Collegiate and Vocational School
2021-05-14,2021-05-15,,B67113,Halton Catholic District School Board,688231,Assumption Catholic Secondary School
2021-05-14,2021-05-18,,B67113,Halton Catholic District School Board,738271,Notre Dame Catholic Secondary School
2021-05-14,2021-05-19,,B67113,Halton Catholic District School Board,854212,St. Thomas Aquinas Catholic Secondary School
2021-05-14,2021-05-15,,B66133,Halton District School Board,912433,Georgetown District High School
2021-05-14,2021-05-20,,B66133,Halton District School Board,912433,Georgetown District High School
2021-05-14,2021-05-15,,B67121,Hamilton-Wentworth Catholic District School Board,695343,Cathedral High School
2021-05-14,2021-05-21,,B67121,Hamilton-Wentworth Catholic District School Board,689386,Bishop Tonnos Catholic Secondary School
2021-05-14,2021-05-17,,B66141,Hamilton-Wentworth District School Board,893455,Nora Henderson Secondary School
2021-05-14,2021-05-15,2021-05-18,B66206,Limestone District School Board,946494,Sydenham High School
2021-05-14,2021-05-19,,B67032,London District Catholic School Board,724513,John Paul II Catholic Secondary School
2021-05-14,2021-05-19,,B67156,Niagara Catholic District School Board,740195,Notre Dame College School
2021-05-14,2021-05-15,,R00002,Ottawa Region,S00008,AMA Community Centre
2021-05-14,2021-05-15,,B66125,Peel District School Board,501875,Centennial Senior Public School
2021-05-14,2021-05-15,,B66125,Peel District School Board,253464,Harold F Loughin Public School
2021-05-14,2021-05-16,,B66125,Peel District School Board,185655,Erin Mills Middle School
2021-05-14,2021-05-16,,B66125,Peel District School Board,307548,Lancaster Public School
